image_name,xmin,xmax,ymin,ymax,class_id
truck_348_aug_9277.jpg,8,96,1,91,10
deer_971_aug_4969.jpg,1,96,1,96,5
car_338_aug_2266.jpg,1,82,1,88,3
ship_248_aug_8166.jpg,14,96,9,96,9
bird_256_aug_1175.jpg,3,93,1,91,2
horse_667_aug_6631.jpg,16,96,7,94,7
deer_50_aug_4446.jpg,2,96,4,96,5
dog_769_aug_5744.jpg,1,85,11,96,6
horse_582_aug_6537.jpg,1,86,1,77,7
dog_853_aug_5838.jpg,1,82,9,93,6
ship_489_aug_8433.jpg,18,96,6,96,9
airplane_903_aug_894.jpg,1,96,4,96,1
deer_248_aug_4166.jpg,5,96,9,96,5
truck_772_aug_9748.jpg,6,96,1,96,10
deer_34_aug_4268.jpg,1,94,12,96,5
deer_263_aug_4183.jpg,1,76,1,74,5
bird_683_aug_1649.jpg,1,93,1,82,2
cat_694_aug_3661.jpg,13,96,12,93,4
airplane_16_aug_68.jpg,3,96,12,96,1
car_541_aug_2492.jpg,5,96,17,96,3
airplane_231_aug_148.jpg,22,96,5,87,1
deer_799_aug_4777.jpg,1,88,15,96,5
truck_325_aug_9252.jpg,6,96,18,96,10
horse_331_aug_6259.jpg,20,96,10,96,7
airplane_154_aug_62.jpg,1,96,16,96,1
dog_641_aug_5603.jpg,1,71,1,85,6
airplane_345_aug_274.jpg,1,88,16,96,1
truck_845_aug_9829.jpg,1,87,4,96,10
horse_501_aug_6448.jpg,4,96,2,87,7
dog_772_aug_5748.jpg,4,96,1,83,6
dog_509_aug_5456.jpg,13,96,1,83,6
dog_136_aug_5042.jpg,1,83,1,83,6
truck_729_aug_9700.jpg,6,96,1,80,10
cat_825_aug_3807.jpg,1,80,1,86,4
ship_875_aug_8862.jpg,3,96,1,74,9
bird_991_aug_1991.jpg,8,96,1,85,2
cat_947_aug_3942.jpg,4,95,1,96,4
airplane_283_aug_205.jpg,16,96,1,90,1
monkey_605_aug_7563.jpg,1,87,1,88,8
ship_125_aug_8030.jpg,1,85,1,86,9
car_823_aug_2805.jpg,1,73,12,96,3
airplane_191_aug_103.jpg,24,96,1,76,1
bird_410_aug_1347.jpg,1,96,9,96,2
horse_897_aug_6886.jpg,1,96,1,92,7
dog_99_aug_5989.jpg,1,92,19,96,6
bird_719_aug_1689.jpg,1,96,1,96,2
dog_42_aug_5357.jpg,1,75,1,96,6
dog_175_aug_5085.jpg,1,78,3,96,6
car_160_aug_2069.jpg,8,96,5,95,3
airplane_66_aug_623.jpg,3,93,18,96,1
car_846_aug_2830.jpg,16,96,1,96,3
deer_801_aug_4781.jpg,6,96,1,96,5
car_127_aug_2032.jpg,8,96,9,96,3
dog_219_aug_5134.jpg,1,85,1,71,6
car_24_aug_2157.jpg,13,96,1,81,3
truck_828_aug_9810.jpg,1,88,21,96,10
bird_593_aug_1549.jpg,12,94,1,68,2
ship_516_aug_8464.jpg,1,75,2,96,9
dog_48_aug_5423.jpg,1,81,18,96,6
bird_135_aug_1041.jpg,4,88,10,88,2
deer_415_aug_4352.jpg,9,96,1,83,5
monkey_642_aug_7604.jpg,1,86,1,82,8
deer_21_aug_4124.jpg,1,88,1,96,5
monkey_220_aug_7136.jpg,20,96,4,96,8
horse_922_aug_6915.jpg,7,96,15,96,7
car_559_aug_2511.jpg,1,94,7,96,3
horse_893_aug_6882.jpg,1,84,13,95,7
monkey_275_aug_7196.jpg,12,96,1,82,8
bird_375_aug_1307.jpg,1,83,1,92,2
monkey_715_aug_7685.jpg,1,90,4,96,8
airplane_752_aug_726.jpg,1,80,10,96,1
car_84_aug_2823.jpg,13,96,1,96,3
ship_242_aug_8160.jpg,3,96,1,96,9
truck_266_aug_9186.jpg,4,90,16,96,10
dog_176_aug_5086.jpg,21,96,1,81,6
deer_44_aug_4379.jpg,18,96,2,90,5
truck_827_aug_9809.jpg,14,96,4,96,10
monkey_583_aug_7538.jpg,5,96,8,96,8
bird_677_aug_1642.jpg,1,73,16,96,2
airplane_391_aug_325.jpg,1,73,1,88,1
